timestamp,device_id,temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,microphone_one,microphone_two
2026-03-12T12:58:50.570Z,IEMAA-IEMA-601-4-801,23.11,24.94,0.09,0.28,4.23,-80.48,14.59,43.95,45.20,88.87
2026-03-12T12:58:51.583Z,IEMAA-IEMA-601-4-801,29.51,38.19,4.00,-1.21,-1.88,-77.73,-79.77,87.23,64.94,32.90
2026-03-12T12:58:52.584Z,IEMAA-IEMA-601-4-801,39.50,27.32,0.33,1.00,-4.47,75.42,-52.55,58.53,41.10,88.86
2026-03-12T12:58:53.597Z,IEMAA-IEMA-601-4-801,31.53,27.30,3.01,4.00,4.24,-29.43,-63.65,-32.84,40.90,34.87
2026-03-12T12:58:54.601Z,IEMAA-IEMA-601-4-801,34.12,23.65,0.07,-2.30,-2.19,-86.30,9.29,1.14,87.44,97.76
2026-03-12T12:58:55.604Z,IEMAA-IEMA-601-4-801,29.60,20.20,-3.64,4.06,4.03,-43.44,-9.37,12.84,86.03,32.56
2026-03-12T12:58:56.608Z,IEMAA-IEMA-601-4-801,34.13,24.60,-3.94,-3.15,-1.68,36.24,76.11,56.86,57.66,48.36
2026-03-12T12:58:57.609Z,IEMAA-IEMA-601-4-801,21.08,37.09,3.64,-0.82,-4.01,37.25,-20.09,12.32,67.80,59.00
2026-03-12T12:58:58.623Z,IEMAA-IEMA-601-4-801,37.07,30.17,-0.06,-1.85,-2.34,42.98,28.94,59.80,34.72,39.77
2026-03-12T12:58:59.636Z,IEMAA-IEMA-601-4-801,20.78,27.79,1.45,3.87,-4.84,4.09,93.40,-8.65,30.93,81.94
2026-03-12T12:59:00.644Z,IEMAA-IEMA-601-4-801,23.67,29.95,1.71,0.76,2.55,-54.31,71.17,84.08,70.99,82.95
2026-03-12T12:59:01.658Z,IEMAA-IEMA-601-4-801,37.09,32.69,3.02,-1.14,-3.12,-3.02,-62.82,13.70,97.62,69.07
2026-03-12T12:59:02.660Z,IEMAA-IEMA-601-4-801,22.19,31.42,-1.92,1.94,0.90,26.40,74.11,46.23,71.46,49.21
2026-03-12T12:59:03.668Z,IEMAA-IEMA-601-4-801,38.71,22.02,4.04,-3.66,-2.48,-72.78,-29.48,31.73,75.22,80.63
2026-03-12T12:59:04.669Z,IEMAA-IEMA-601-4-801,31.04,29.85,1.43,-1.62,0.41,74.73,-37.84,29.77,77.36,72.43
2026-03-12T12:59:05.673Z,IEMAA-IEMA-601-4-801,26.79,36.85,2.43,-1.27,3.71,-84.59,30.18,-94.16,36.06,65.03
