timestamp,device_id,temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,microphone_one,microphone_two
2026-03-13T13:01:18.277Z,IEMA-601-4-003,53.29,0,0,0,0,0,0,0,0,0
2026-03-13T13:02:06.576Z,IEMA-601-4-003,39.44,48.22,-0.131,-0.504,-0.838,-17.36,-5.46,10.87,3155,3212
2026-03-13T13:02:36.580Z,IEMA-601-4-003,46.26,54.28,0.595,0.708,1.201,28.48,22.93,-23.2,2731,456
2026-03-13T13:03:06.591Z,IEMA-601-4-003,37.32,52.13,0.24,1.334,1.909,-28.94,-14.21,19.31,209,566
2026-03-13T13:03:36.589Z,IEMA-601-4-003,44.17,39.97,0.957,-0.627,0.889,-77.6,32.6,-32.93,793,3319
2026-03-13T13:04:06.596Z,IEMA-601-4-003,34.11,47.57,-1.468,-0.734,-0.93,-61.48,22.8,-53.41,1397,3014
2026-03-13T13:04:36.592Z,IEMA-601-4-003,55.05,47.79,0.183,-0.822,-1.548,75.34,-60.37,70.35,3855,3445
2026-03-13T13:05:06.592Z,IEMA-601-4-003,38.42,48.87,-0.092,1.882,-0.48,32.3,48.96,79.82,453,1630
2026-03-13T13:05:36.604Z,IEMA-601-4-003,59.65,42.23,1.618,1.732,-0.393,53.83,69.24,65.18,1980,1455
2026-03-13T13:06:06.604Z,IEMA-601-4-003,43.52,38.54,0.185,-1.66,0.809,35.96,78.29,-13.04,1062,1067
2026-03-13T13:06:36.614Z,IEMA-601-4-003,45.75,56.96,0.924,-0.95,-0.841,58.95,-72.45,39.5,790,863
2026-03-13T13:07:06.561Z,IEMA-601-4-003,48.47,41.95,0.15,1.472,1.691,-50.04,-95.74,46.54,3556,2402
2026-03-13T13:07:36.612Z,IEMA-601-4-003,41.18,36.2,-1.611,1.17,0.353,-63.98,-62.84,-1.8,164,295
2026-03-13T13:08:06.662Z,IEMA-601-4-003,33.57,42.11,-1.715,-1.36,1.832,36.5,-61.63,30.51,327,2686
2026-03-13T13:09:06.671Z,IEMA-601-4-003,48.32,46.37,0.065,0.316,-1.1,-95.67,-81.96,-61.26,1690,3072
2026-03-13T13:10:36.621Z,IEMA-601-4-003,43.08,36.01,0.32,-0.347,0.667,-77.96,-31.52,73.34,1271,2094
2026-03-13T13:11:06.623Z,IEMA-601-4-003,45.86,34.53,1.341,-0.075,-0.772,-54.73,47.76,11.05,3299,1638
2026-03-13T13:12:06.676Z,IEMA-601-4-003,35.86,38.01,-0.008,-1.454,-1.486,74.74,16.68,13.43,3078,1792
2026-03-13T13:13:06.641Z,IEMA-601-4-003,36.45,31.08,0.195,-0.191,0.376,85.59,-96.32,33.66,4025,2941
2026-03-13T13:14:36.650Z,IEMA-601-4-003,31.81,47.67,-1.811,-1.445,0.839,28.45,25.2,-9.42,1183,3608
2026-03-13T13:15:06.692Z,IEMA-601-4-003,52.31,42.35,1.185,-0.834,-0.689,38.5,-20.03,29.45,2424,1511
2026-03-13T13:16:06.652Z,IEMA-601-4-003,40.55,38.67,-0.365,-0.068,0.826,76.44,34.59,-81.22,1326,436
2026-03-13T13:16:36.652Z,IEMA-601-4-003,51.54,41.77,1.884,1.568,-1.295,51.04,44.69,-27.75,2473,2685
2026-03-13T13:17:06.654Z,IEMA-601-4-003,49.4,58.6,1.644,1.604,0.311,-70.03,26.49,-6.88,338,3977
2026-03-13T13:18:06.703Z,IEMA-601-4-003,51.41,38.99,1.608,-1.483,1.812,-92.59,-37.27,-61.91,2110,1150
2026-03-13T13:19:06.665Z,IEMA-601-4-003,33.39,32.16,-1.772,0.519,1.389,-18.29,29.08,0.8,3231,2475
2026-03-13T13:19:36.667Z,IEMA-601-4-003,59.44,41.85,-1.78,-0.924,0.34,-5.84,-7.05,17.86,1661,3823
2026-03-13T13:20:06.675Z,IEMA-601-4-003,50.16,54.39,-0.349,1.709,-1.734,-44.16,-3.82,72.95,389,2606
2026-03-13T13:20:36.667Z,IEMA-601-4-003,31.9,38.21,-1.104,-0.519,-0.872,-91.91,-75.4,86.16,762,3237
2026-03-13T13:21:06.681Z,IEMA-601-4-003,40.84,41.29,-1.481,0.348,1.869,27.39,-3.81,51.19,2642,1162
2026-03-13T13:21:36.675Z,IEMA-601-4-003,60,56.34,0.403,1.699,1.865,-85.5,97.17,62.09,275,2825
2026-03-13T13:22:06.732Z,IEMA-601-4-003,52.41,32,0.425,0.132,0.51,46.11,-27.65,-30.58,1927,3464
2026-03-13T13:23:06.646Z,IEMA-601-4-003,38.27,37.54,1.196,-0.54,1.801,51.66,3.48,-34.19,2143,2266
2026-03-13T13:23:36.697Z,IEMA-601-4-003,46.55,56.88,0.69,-0.478,-1.599,46.7,21.51,57.88,2990,2116
2026-03-13T13:24:06.686Z,IEMA-601-4-003,44.59,53.22,-0.307,0.58,0.219,6.65,-51.62,37.36,820,1703
2026-03-13T13:24:36.698Z,IEMA-601-4-003,31.64,30.93,-1.536,0.553,-0.455,-89.66,-33.36,-91.8,3256,3941
2026-03-13T13:25:06.652Z,IEMA-601-4-003,35.22,48.13,-1.014,-0.633,1.116,35.27,-72.9,86.33,2320,722
